Name,grading,date,Text,Target,Language,label (roberta),score (roberta)
Laurence GRUYER,3,60,Economy and commodities.,1,en,NEUTRAL,0.6391464471817017
Maxime Kohut,5,60,"frankly it kills, there's space, it doesn't stink and there's cold water unlike some basics...
it's square",2,en,NEGATIVE,0.6089643239974976
Sacha Brt,5,12,"Very good room as a whole, whether in terms of machines or weights.
Quite spacious given its location, and the reception service is really very pleasant. I thank Arslane again for helping me with my card problem, very serious and professional.",2,en,POSITIVE,0.9849846363067627
Thomas Mialet,5,8,"Superb room on 3 floors with top quality machines 😁💪🏼
The reception agent (Simon) very kind, smiling impeccable welcome it's nice to see professional and invested people 🤩
I recommend 200%!!! …",2,en,POSITIVE,0.9866926074028015
Laurie Benoit,5,12,"The best Basic Fit room in Bordeaux, in my opinion, especially for group lessons.

The courses are varied and really make you progress.
I particularly recommend the lessons with Antoine! Always in a good mood, he motivates the group while paying attention to everyone's movements.",2,en,POSITIVE,0.9757665991783142
Sacha Goigoux Palomo,5,9,"Clean room, sometimes a little overcrowded.
The host (Simon I believe) is great and very nice.",2,en,POSITIVE,0.9751856923103333
Audrey Verdeyrou,5,12,"Super room, especially since the new schedule of group lessons.
The coaches are at the top 😍
Thanks to Antoine, Émilie and the new Ignacio for their daily good mood!
PLEASE: a second zumba class, at the end of the day! 💃💃💃",2,en,POSITIVE,0.986807644367218
Soukaina Elmadini,5,12,"It's a great room with lots of space.
I do group lessons with coach Émilie and frankly I recommend, she is a great coach, very kind and very gentle, always attentive, she is attentive to everyone, and her lessons adapt to all levels, she is always there to push us to go beyond our limits and we are always satisfied at the end of each session.",2,en,POSITIVE,0.9800082445144653
Margaux Milox,5,12,"Very nice room, large and well maintained. The staff is very friendly and available when needed.
I highly recommend this room!!",2,en,POSITIVE,0.9880444407463074
jean Baptiste Faure,5,12,"Basic fit fondaudege is a very nice room, clean and spacious.

The staff is pleasant, professional and attentive.

The only major concern remains the RPM space: maintenance-free bikes that go to pieces, and the videos that haven't been updated since the opening....it's a real shame for members like me who make them very regularly! !! I hope management will invest in bikes and put new videos for virtual training!",2,en,POSITIVE,0.5423546433448792
Patrick Bessieres,5,36,"A room in the city center ideally located whether you come there on foot, by bike, by public transport or by car. Welcoming and smiling staff. Always clean and the distribution by floors is judicious. The subscribers are nice and the coaches on site are top-notch. Privatization for private lessons downstairs is a plus because it feels like home. One of the most beautiful basic fit rooms in Bordeaux.",2,en,POSITIVE,0.9823904037475586
Tibo,5,12,"Great value for money.
Great welcome, always with a smile, special mention to Manue, Carolina, Antoine, François, Arslane and the new arrival Emilie.",2,en,POSITIVE,0.9797086119651794
safaa jmouhi,5,12,"Pleasant room, friendly and attentive staff, thank you Antoine for the group lessons! You are great ☺️",2,en,POSITIVE,0.9925474524497986
Karyak 97,5,84,"Superb room, spacious, excellent and varied equipment, irreproachable changing rooms and toilets too. I hope that the quality will remain as high over time, and that this room is not doomed to deterioration (especially changing rooms, showers and toilets) like the BasicFit room in Mériadeck...
In addition, the room in rue Fondaudège is not underground, so there is 4G (for music, it's perfect) and you can still see the light of day! And also you don't have to put up with group lessons and their shitty music at full blast in the room, unlike elsewhere... In short, I recommend!",2,en,POSITIVE,0.8669735193252563
Anthony Aubert,5,12,"Very nice room, clean, spacious, great welcome! Special mention for Émilie and her Bodycombat classes, the best to let off steam and have a good time! 🤩 We're happy to come back! …",2,en,POSITIVE,0.9936805963516235
Nico la capre,5,48,"It's still a gym but the machines are new, the team friendly and frankly I love the place! Far from the more traditional rooms, the decor with exposed stone, brick and Gustave Eiffel-style IPNs gives a loft feel and it's still more fun to be in a pleasant place to hurt yourself...",2,en,POSITIVE,0.9834660291671753
Manon Jud,5,36,"A great gym! Special mention to the welcome, always smiling and in a good mood, as well as to Antoine who is an excellent coach ensuring perfectly (almost) all co lessons!! I recommend !!",2,en,POSITIVE,0.9903135299682617
Bellaaroussi Fouad,5,1,"Thierry, garden department, exceptional seller, very good advice and finds solutions to after-sales service difficulties. Love it and will be back although this Leroy Merlin isn't the closest.",2,en,POSITIVE,0.9365270137786865
coralie adan hornois,5,2,"We had come for a shears and some information, we left with much more than that. A big thank you to Thierry who gave us much more than little advice. Thank you very much for your patience and kindness.",2,en,POSITIVE,0.9272854328155518
Adeline Oups,5,2,"Super advice and seller Johan at lighting and decoration decoration.
He really knew how to answer all my questions, including in terms of fixing and installation for my decorative cynicism. I recommend 👍…",2,en,POSITIVE,0.9326146841049194
RF M,5,4,"large car park. quite a lot of choice. it's very big and you can find almost everything there. the shelves are well kept and tidy. there is also a large opening radius. on the other hand, frankly, the boxes sold for removals are to be avoided. the worst cards on earth. they tear or crush. it's frankly not of good quality and the price is not so good for the quality of the product... please do something about the quality of your boxes.",2,en,NEGATIVE,0.8568838834762573
Lucie CORPART,5,36,"Well supplied, often very busy but we have always had to deal with competent people who take their time for us.",2,en,NEUTRAL,0.5482094883918762
Kevin Renaudet,5,1,"store regular,
A very warm welcome especially today from Miriam at the curtain department. Involved, professional and very commercial. In addition to a very pleasant good mood.",2,en,POSITIVE,0.9853935241699219
Bonsoir Bonjour,5,1,"I wanted to thank the sellers in the garden department who allowed me to buy several items including bags of potting soil in the best conditions. Thanks to Sebastien, Laurent, Mohamed, Philippe and Robert for your availability, welcome and help. Yes all these sellers for me alone 😀 …",2,en,POSITIVE,0.9709476232528687
Imane,5,4,"Many thanks to Fouad in the paint department for his advice. We took everything we needed without wasting time.
Satisfied customers :)!",2,en,POSITIVE,0.9806931614875793
Choumouss Kamoun,5,7,"I really like this store, the advisers I have met are knowledgeable about their department and have been able to meet all my needs. Recently, Fouad, sales consultant in the paint department, helped me a lot in finding the ideal colors for my interior under renovation. He took the time to show me different shades and machine color one of my sweaters. Thank you very much to them, every time I go there I follow their advice with my eyes closed",2,en,POSITIVE,0.985792338848114
sonia bobrie,5,3,"Quality service in the dressing room/storage department: a big thank you to Elodie S who helped me calmly realize my space wardrobe project with professionalism, availability, adaptability, patience, listening, exchange and good advice, all with a smile and in a good mood, a pure pleasure to have benefited from his services!",2,en,POSITIVE,0.9892596006393433
Aleksander Callaud,5,24,"Very good restaurant, with very friendly staff, I recommend",2,en,POSITIVE,0.9874082803726196
La fée toute seule,5,10,A safe bet in Beauvais. Good reception and fair prices,2,en,POSITIVE,0.9529688358306885
nicolas gauthier,5,12,"Very good burger, and very good draft beer. Good service",2,en,POSITIVE,0.9746700525283813
Cathy Guirriec,5,24,Nice restaurant and very good service. I recommend!,2,en,POSITIVE,0.9873489141464233
